Vehicle ID,Identifier,Make,Model,Color,License Plate,Passenger Seats,Status,VIN,Garage Stop,Contractor Name,Vehicle Model Year,Vehicle Description,Emissions Rate,Vehicle Type ID,Capacity Type,Created At,Updated At,Photo URL,Accessibility Features
9a3f9b5f-e165-487c-8f77-6e478199e94b,604U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KLA 464,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 10:59:51,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
c77be8e1-afbb-4188-a740-0acb6c8df555,603U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KLA 473,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 10:59:57,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
6e3c5727-19cb-4576-82b5-3a56b51ac29b,602U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KLA 472,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:00:03,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
36d70024-9acd-47ab-8791-000e8d8d7dcd,601U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KLA 471,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:00:11,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
cad9f5b7-dd00-4896-89b0-b8edf9ce014b,1506U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KFN 114,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:01:26,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
f479bf19-a5f6-4292-82d1-d95fe03d1e71,1505U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KFN 116,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:01:33,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
df3d3d96-d2bf-4c81-a1e5-a3a8267e416d,1504U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KFN 113,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:01:39,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
fce7363e-d12e-4b8b-b982-373c4f6e49b3,1502U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KFN 107,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:01:44,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
b124aa18-3789-40b5-b875-93637c57322b,1503U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KFN 112,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:01:50,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
5622f19e-4a38-4f7e-9c95-da202589a7d2,1501U BUS,Arboc (GM Chassis),Spirit of Mobility,White,KFN 115,5,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,24' Bus; 600U and 1500U series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:01:55,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
